rating,movie,year,country,rating_ball,director,screenwriter,actors
201,Цирк ,1928,США,8.015, Чарльз Чаплин, Чарльз Чаплин,Чарльз Чаплин Мерна Кеннеди Аль Эрнест Гарсиа Гарри Крокер Джордж Дэвис
202,Жестокий романс ,1984,СССР,8.082, Эльдар Рязанов, Эльдар Рязанов  Александр Островский,Лариса Гузеева Андрей Мягков Алиса Фрейндлих Никита Михалков Алексей Петренко
203,Загадочная история Бенджамина Баттона ,2008,США,8.045, Дэвид Финчер, Эрик Рот  Робин Суикорд  Фрэнсис Скотт Фицджеральд,Брэд Питт Кейт Бланшетт Джулия Ормонд Тараджи П. Хенсон Джейсон Флеминг
204,Хоббит: Пустошь Смауга ,2013,США,7.970, Питер Джексон, Фрэн Уолш  Филиппа Бойенс  Питер Джексон ...,Мартин Фриман Ричард Армитедж Иэн Маккеллен Эванджелин Лилли Орландо Блум
205,Пока не сыграл в ящик ,2007,США,8.049, Роб Райнер, Джастин Закэм,Джек Николсон Морган Фриман Шон Хейс Беверли Тодд Роб Морроу
206,Хулиганы ,2005,США,8.026, Лекси Александр, Лекси Александр  Дуги Бримсон  Джош Шелов,Элайджа Вуд Чарли Ханнэм Клэр Форлани Марк Уоррен Лео Грегори
207,Тэмпл Грандин ,2010,США,7.936, Мик Джексон, Кристофер Монгер  Мерритт Джонсон  Тэмпл Грандин ...,Клэр Дэйнс Джулия Ормонд Дэвид Стрэтэйрн Кэтрин О’Хара Стефани Фэраси
208,Гарри Поттер и философский камень ,2001,Великобритания,8.203, Крис Коламбус, Стивен Кловз  Дж.К. Роулинг,Дэниэл Рэдклифф Руперт Гринт Эмма Уотсон Ричард Харрис Алан Рикман
209,Ford против Ferrari ,2019,США,8.121, Джеймс Мэнголд, Джез Баттеруорт  Джон-Генри Баттеруорт  Джейсон Келлер,Кристиан Бэйл Мэтт Дэймон Катрина Балф Трэйси Леттс Джон Бернтал
210,Дурак ,2014,Россия,8.057, Юрий Быков, Юрий Быков,Артем Быстров Наталья Суркова Юрий Цурило Борис Невзоров Кирилл Полухин
211,Я – Сэм ,2001,США,8.002, Джесси Нельсон, Кристин Джонсон  Джесси Нельсон,Шон Пенн Мишель Пфайффер Дакота Фаннинг Дайэнн Уист Лоретта Дивайн
