rating,movie,year,country,rating_ball,director,screenwriter,actors
47,Кавказская пленница или Новые приключения Шурика ,1966,СССР,8.457, Леонид Гайдай, Леонид Гайдай  Яков Костюковский  Морис Слободской,Александр Демьяненко Наталья Варлей Юрий Никулин Георгий Вицин Евгений Моргунов
48,...А зори здесь тихие ,1972,СССР,8.505, Станислав Ростоцкий, Станислав Ростоцкий  Борис Васильев,Елена Драпеко Екатерина Маркова Ольга Остроумова Ирина Шевчук Ирина Долганова
49,Эта замечательная жизнь ,1947,США,8.449, Фрэнк Капра, Фрэнсис Гудрич  Альберт Хэкетт  Фрэнк Капра ...,Джеймс Стюарт Донна Рид Лайонел Бэрримор Томас Митчелл Генри Треверс
50,Хороший плохой злой ,1966,Италия,8.524, Серджио Леоне, Лучиано Винчензони  Серджио Леоне  Адженоре Инкроччи ...,Клинт Иствуд Ли Ван Клиф Илай Уоллак Альдо Джуффре Луиджи Пистилли
51,Хористы ,2004,Франция,8.277, Кристоф Барратье, Рене Велер  Кристоф Барратье  Ноэль-Ноэль ...,Жерар Жюньо Франсуа Берлеан Кад Мерад Жан-Поль Боннер Мари Бюнель
52,Приключения Шерлока Холмса и доктора Ватсона: Собака Баскервилей ,1981,СССР,8.599, Игорь Масленников, Игорь Масленников  Артур Конан Дойл  Юрий Векслер,Василий Ливанов Виталий Соломин Никита Михалков Олег Янковский Ирина Купченко
53,Семь ,1995,США,8.295, Дэвид Финчер, Эндрю Кевин Уокер,Брэд Питт Морган Фриман Гвинет Пэлтроу Кевин Спейси Р. Ли Эрми
54,Молчание ягнят ,1990,США,8.331, Джонатан Демме, Тед Тэлли  Томас Харрис,Джоди Фостер Энтони Хопкинс Брук Смит Скотт Гленн Тед Левайн
55,Как приручить дракона ,2010,США,8.200, Дин ДеБлуа  Крис Сандерс, Уильям Дэвис  Дин ДеБлуа  Крис Сандерс ...,Джей Барушель Джерард Батлер Крэйг Фергюсон Америка Феррера Джона Хилл
56,Шоу Трумана ,1998,США,8.253, Питер Уир, Эндрю Никкол,Джим Керри Лора Линни Ноа Эммерих Наташа МакЭлхоун Эд Харрис
57,Терминатор 2: Судный день ,1991,США,8.309, Джеймс Кэмерон, Джеймс Кэмерон  Уильям Уишер мл.,Арнольд Шварценеггер Линда Хэмилтон Эдвард Ферлонг Роберт Патрик Эрл Боэн
58,Джанго освобожденный ,2012,США,8.182, Квентин Тарантино, Квентин Тарантино,Джейми Фокс Кристоф Вальц Леонардо ДиКаприо Керри Вашингтон Сэмюэл Л. Джексон
59,Крестный отец 2 ,1974,США,8.541, Фрэнсис Форд Коппола, Марио Пьюзо  Фрэнсис Форд Коппола,Аль Пачино Роберт Де Ниро Дайан Китон Роберт Дювалл Джон Казале
60,Клаус ,2019,Испания,8.666, Серхио Паблос  Карлос Мартинес Лопес, Серхио Паблос  Джеймс Майкл Махони  Зэк Льюис,Джейсон Шварцман Дж.К. Симмонс Джоан Кьюсак Рашида Джонс Уилл Сассо
61,Собачье сердце ,1988,СССР,8.343, Владимир Бортко, Наталия Бортко  Михаил Булгаков,Владимир Толоконников Евгений Евстигнеев Борис Плотников Роман Карцев Нина Русланова
62,Нокдаун ,2005,США,8.202, Рон Ховард, Клифф Холлингсворт  Акива Голдсман,Рассел Кроу Рене Зеллвегер Пол Джаматти Крэйг Бирко Пэдди Консидайн
63,Игра ,1997,США,8.252, Дэвид Финчер, Джон Бренкето  Майкл Феррис,Майкл Дуглас Шон Пенн Дебора Кара Ангер Джеймс Ребхорн Питер Донат
64,Храброе сердце ,1995,США,8.280, Мэл Гибсон, Рэндалл Уоллес,Мэл Гибсон Софи Марсо Патрик МакГуэн Энгус Макфадьен Брендан Глисон
65,Шерлок Холмс и доктор Ватсон: Знакомство ,1979,СССР,8.555, Игорь Масленников, Юлий Дунский  Валерий Фрид  Артур Конан Дойл,Василий Ливанов Виталий Соломин Рина Зеленая Мария Соломина Геннадий Богачёв
66,Москва слезам не верит ,1979,СССР,8.374, Владимир Меньшов, Валентин Черных,Вера Алентова Ирина Муравьёва Алексей Баталов Раиса Рязанова Александр Фатюшин
67,Джентльмены ,2019,Великобритания,8.576, Гай Ричи, Гай Ричи  Айван Эткинсон  Марн Дэвис,Мэттью МакКонахи Чарли Ханнэм Генри Голдинг Хью Грант Мишель Докери
68,Гран Торино ,2008,Германия,8.131, Клинт Иствуд, Ник Шенк  Дэйв Джонсон,Клинт Иствуд Би Ванг Кристофер Карли Эни Хи Брайан Хейли
69,Одержимость ,2013,США,8.330, Дэмьен Шазелл, Дэмьен Шазелл,Майлз Теллер Дж.К. Симмонс Пол Райзер Мелисса Бенойст Остин Стоуэлл
70,Прислуга ,2011,США,8.164, Тейт Тейлор, Тейт Тейлор  Кэтрин Стокетт,Эмма Стоун Виола Дэвис Брайс Даллас Ховард Октавия Спенсер Джессика Честейн
71,Человек дождя ,1988,США,8.246, Барри Левинсон, Бэрри Морроу  Роналд Бэсс,Дастин Хоффман Том Круз Валерия Голино Джералд Р. Молен Джек Мёрдок
72,Изгой ,2000,США,8.252, Роберт Земекис, Уильям Бройлес мл.,Том Хэнкс Хелен Хант Крис Нот Ник Сирси Дженифер Льюис
73,Летят журавли ,1957,СССР,8.290, Михаил Калатозов, Виктор Розов,Татьяна Самойлова Алексей Баталов Василий Меркурьев Александр Шворин Светлана Харитонова
74,Шестое чувство ,1999,США,8.172, М. Найт Шьямалан, М. Найт Шьямалан,Брюс Уиллис Хэйли Джоэл Осмент Тони Коллетт Оливия Уильямс Тревор Морган
75,Зверополис ,2016,США,8.293, Байрон Ховард  Рич Мур  Джаред Буш, Джаред Буш  Фил Джонстон  Байрон Ховард ...,Джиннифер Гудвин Джейсон Бейтман Идрис Эльба Дженни Слейт Нейт Торренс
76,Офицеры ,1971,СССР,8.452, Владимир Роговой, Кирилл Рапопорт  Борис Васильев,Георгий Юматов Василий Лановой Алина Покровская Александр Воеводин Наталья Рычагова
77,Спасти рядового Райана ,1998,США,8.178, Стивен Спилберг, Роберт Родат,Том Хэнкс Том Сайзмор Эдвард Бёрнс Барри Пеппер Адам Голдберг
78,Малыш ,1921,США,8.240, Чарльз Чаплин, Чарльз Чаплин,Карл Миллер Эдна Первиэнс Джеки Кугэн Чарльз Чаплин Альберт Остин
79,Эффект бабочки ,2003,США,8.167, Эрик Бресс  Дж. Макки Грубер, Дж. Макки Грубер  Эрик Бресс,Эштон Кутчер Эми Смарт Элден Хенсон Уильям Ли Скотт Джон Патрик Амедори
80,В погоне за счастьем ,2006,США,8.248, Габриэле Муччино, Стив Конрад,Уилл Смит Джейден Смит Тэнди Ньютон Брайан Хау Джеймс Карен
81,Белый Бим Черное ухо ,1976,СССР,8.371, Станислав Ростоцкий, Станислав Ростоцкий  Гавриил Троепольский,Вячеслав Тихонов Никита Астахов Валентина Владимирова Михаил Дадыко Иван Рыжов
82,Судьба человека ,1959,СССР,8.368, Сергей Бондарчук, Юрий Лукин  Федор Шахмагонов  Михаил Шолохов,Сергей Бондарчук Павел Полунин Зинаида Кириенко Павел Волков Юрий Аверин
83,Красавица и чудовище ,1991,США,8.269, Гари Труздейл  Кирк Уайз, Линда Вулвертон  Габриэль-Сюзанна Барбо де Вильнев  Бренда Чепмен ...,Робби Бенсон Джесси Корти Рекс Эверхарт Анджела Лэнсбери Пейдж О’Хара
84,Назад в будущее 2 ,1989,США,8.288, Роберт Земекис, Роберт Земекис  Боб Гейл,Майкл Дж. Фокс Кристофер Ллойд Лиа Томпсон Томас Ф. Уилсон Элизабет Шу
85,Дневник памяти ,2004,США,8.255, Ник Кассаветис, Джереми Левин  Ян Сарди  Николас Спаркс,Райан Гослинг Рэйчел МакАдамс Джеймс Гарнер Джина Роулендс Сэм Шепард
86,Укрощение строптивого ,1980,Италия,8.384, Франко Кастеллано  Джузеппе Моччиа, Франко Кастеллано  Джузеппе Моччиа  Уильям Шекспир,Адриано Челентано Орнелла Мути Эдит Питерс Пиппо Сантонастасо Милли Карлуччи
87,Однажды в Америке ,1983,США,8.274, Серджио Леоне, Леонардо Бенвенути  Пьеро Де Бернарди  Энрико Медиоли ...,Роберт Де Ниро Джеймс Вудс Элизабет Макговерн Трит Уильямс Тьюзди Уэлд
88,Римские каникулы ,1953,США,8.272, Уильям Уайлер, Далтон Трамбо  Йен МакЛеллан Хантер  Джон Дайтон,Грегори Пек Одри Хепберн Эдди Альберт Хартли Пауэр Харкорт Уильямс
89,Унесенные ветром ,1939,США,8.381, Виктор Флеминг  Джордж Кьюкор  Сэм Вуд, Сидни Ховард  Оливер Х.П. Гаррет  Бен Хект ...,Вивьен Ли Кларк Гейбл Лесли Говард Оливия Де Хэвилленд Оскар Полк
90,Служебный роман ,1977,СССР,8.290, Эльдар Рязанов, Эмиль Брагинский  Эльдар Рязанов,Андрей Мягков Алиса Фрейндлих Светлана Немоляева Олег Басилашвили Лия Ахеджакова
91,Балто ,1995,США,8.328, Саймон Уэллс, Клифф Руби  Элана Лессер  Дэвид Стивен Коэн ...,Кевин Бейкон Боб Хоскинс Бриджит Фонда Джим Каммингс Фил Коллинз
92,Темный рыцарь: Возрождение легенды ,2012,Великобритания,8.137, Кристофер Нолан, Кристофер Нолан  Джонатан Нолан  Дэвид С. Гойер ...,Кристиан Бэйл Том Харди Энн Хэтэуэй Джозеф Гордон-Левитт Марион Котийяр
93,Жизнь других ,2006,Германия,8.070, Флориан Хенкель фон Доннерсмарк, Флориан Хенкель фон Доннерсмарк,Ульрих  Мюэ Себастьян Кох Мартина Гедек Ульрих Тукур Томас Тиме
94,Счастливое число Слевина ,2005,Германия,8.112, Пол МакГиган, Джейсон Смилович,Джош Хартнетт Брюс Уиллис Люси Лью Морган Фриман Бен Кингсли
95,Адвокат дьявола ,1997,США,8.164, Тейлор Хэкфорд, Джонатан Лемкин  Тони Гилрой  Эндрю Нейдерман,Киану Ривз Аль Пачино Шарлиз Терон Джеффри Джонс Джудит Айви
96,Амадей ,1984,США,8.154, Милош Форман, Питер Шеффер  Зденек Малер,Том Халс Ф. Мюррэй Абрахам Элизабет Берридж Рой Дотрис Саймон Кэллоу
97,Зеленая книга ,2018,США,8.348, Питер Фаррелли, Ник Валлелонга  Брайан Хэйес Карри  Питер Фаррелли,Вигго Мортенсен Махершала Али Линда Карделлини Себастьян Манискалко Димитар Маринов
98,…А в душе я танцую ,2004,Великобритания,8.110, Дэмиен О’Доннелл, Джефри Кейн  Кристиан О’Рейли,Джеймс МакЭвой Стивен Робертсон Ромола Гарай Джерард МакСорли Том Хикки
99,Они сражались за Родину ,1975,СССР,8.378, Сергей Бондарчук, Сергей Бондарчук  Михаил Шолохов,Василий Шукшин Вячеслав Тихонов Сергей Бондарчук Георгий Бурков Юрий Никулин
100,Шерлок Холмс и доктор Ватсон: Смертельная схватка ,1980,СССР,8.423, Игорь Масленников, Владимир Валуцкий  Артур Конан Дойл,Василий Ливанов Виталий Соломин Рина Зеленая Борислав Брондуков Виктор Евграфов
101,Ходячий замок ,2004,Япония,8.278, Хаяо Миядзаки, Хаяо Миядзаки  Диана Уинн Джонс,Тиэко Байсё Такуя Кимура Акихиро Мива Тацуя Гасюин Рюносукэ Камики
102,Гонка ,2013,Великобритания,8.081, Рон Ховард, Питер Морган,Крис Хемсворт Даниэль Брюль Оливия Уайлд Александра Мария Лара Пьерфранческо Фавино
103,Брат ,1997,Россия,8.230, Алексей Балабанов, Алексей Балабанов,Сергей Бодров мл. Виктор Сухоруков Светлана Письмиченко Мария Милютина Юрий Кузнецов
104,Баллада о солдате ,1959,СССР,8.251, Григорий Чухрай, Григорий Чухрай  Валентин Ежов,Владимир Ивашов Жанна Прохоренко Антонина Максимова Николай Крючков Евгений Урбанский
105,Малышка на миллион ,2004,США,8.074, Клинт Иствуд, Пол Хаггис  Ф. Кс. Тул,Клинт Иствуд Хилари Суэнк Морган Фриман Джей Барушель Майк Колтер
106,Хоббит: Нежданное путешествие ,2012,США,8.060, Питер Джексон, Фрэн Уолш  Филиппа Бойенс  Питер Джексон ...,Мартин Фриман Иэн Маккеллен Ричард Армитедж Джеймс Несбитт Кен Стотт
107,Девчата ,1962,СССР,8.356, Юрий Чулюкин, Борис Бедный,Надежда Румянцева Николай Рыбников Люсьена Овчинникова Станислав Хитров Инна Макарова
108,Свидетель обвинения ,1957,США,8.161, Билли Уайлдер, Агата Кристи  Билли Уайлдер  Гарри Кернитц ...,Тайрон Пауэр Марлен Дитрих Чарльз Лотон Эльза Ланчестер Джон Уильямс
109,Шерлок Холмс и доктор Ватсон: Кровавая надпись ,1979,СССР,8.413, Игорь Масленников, Юлий Дунский  Валерий Фрид  Артур Конан Дойл,Василий Ливанов Виталий Соломин Рина Зеленая Борислав Брондуков Игорь Дмитриев
110,Мальчик в полосатой пижаме ,2008,Великобритания,8.173, Марк Херман, Марк Херман  Джон Бойн,Эйса Баттерфилд Джек Скэнлон Дэвид Тьюлис Вера Фармига Эмбер Битти
111,Общество мертвых поэтов ,1989,США,8.213, Питер Уир, Том Шульман,Робин Уильямс Роберт Шон Леонард Итан Хоук Джош Чарльз Гейл Хэнсен
112,Пятый элемент ,1997,Франция,8.075, Люк Бессон, Люк Бессон  Роберт Марк Кэмен,Брюс Уиллис Милла Йовович Гари Олдман Иэн Холм Крис Такер
113,Одиннадцать друзей Оушена ,2001,США,8.093, Стивен Содерберг, Гарри Браун  Чарльз Ледерер  Тед Гриффин ...,Джордж Клуни Брэд Питт Мэтт Дэймон Джулия Робертс Энди Гарсиа
114,Один дома ,1990,США,8.232, Крис Коламбус, Джон Хьюз,Маколей Калкин Джо Пеши Дэниел Стерн Кэтрин О’Хара Джон Хёрд
115,День сурка ,1993,США,8.104, Харольд Рэмис, Дэнни Рубин  Харольд Рэмис,Билл Мюррей Энди МакДауэлл Крис Эллиот Стивен Тоболовски Брайан Дойл-Мюррей
116,Казино ,1995,США,8.126, Мартин Скорсезе, Николас Пиледжи  Мартин Скорсезе,Роберт Де Ниро Шэрон Стоун Джо Пеши Джеймс Вудс Дон Риклз
117,Артист ,2011,Франция,7.942, Мишель Хазанавичус, Мишель Хазанавичус,Жан Дюжарден Беренис Бежо Джон Гудман Джеймс Кромуэлл Пенелопа Энн Миллер
118,Приключения Шерлока Холмса и доктора Ватсона: Охота на тигра ,1980,СССР,8.379, Игорь Масленников, Владимир Валуцкий  Артур Конан Дойл,Василий Ливанов Виталий Соломин Рина Зеленая Борислав Брондуков Игорь Дмитриев
119,Аладдин ,1992,США,8.129, Рон Клементс  Джон Маскер, Рон Клементс  Джон Маскер  Тед Эллиот ...,Скотт Венгер Робин Уильямс Линда Ларкин Джонатан Фриман Фрэнк Уэлкер
120,Добро пожаловать или Посторонним вход воспрещен ,1964,СССР,8.263, Элем Климов, Семен Лунгин  Илья Нусинов,Виктор Косых Евгений Евстигнеев Арина Алейникова Илья Рутберг Лидия Смирнова
121,Новые времена ,1936,США,8.099, Чарльз Чаплин, Чарльз Чаплин,Чарльз Чаплин Полетт Годдар Генри Бергман Тайни Сэндфорд Честер Конклин
122,Могила светлячков ,1988,Япония,8.177, Исао Такахата, Исао Такахата  Акиюки Носака,Цутому Тацуми Аяно Сираиси Ёсико Синохара Акэми Ямагути Тадаси Накамура
123,Невидимая сторона ,2009,США,8.150, Джон Ли Хэнкок, Джон Ли Хэнкок  Майкл Льюис,Сандра Буллок Куинтон Аарон Тим Макгроу Джей Хед Лили Коллинз
124,Город Бога ,2002,Бразилия,8.018, Фернанду Мейреллиш  Катя Лунд, Браулио Мантовани  Паолу Линс,Алешандре Родригис Леандру Фирмину Феллипе Хаагенсен Дуглас Силва Джонатан Хаагенсен
125,Любовь и голуби ,1984,СССР,8.263, Владимир Меньшов, Владимир Гуркин,Александр Михайлов Нина Дорошина Людмила Гурченко Сергей Юрский Наталья Тенякова
126,Как украсть миллион ,1966,США,8.204, Уильям Уайлер, Гарри Кернитц  Джордж Брэдшоу,Одри Хепберн Питер О’Тул Илай Уоллак Хью Гриффит Шарль Буайе
127,Семь жизней ,2008,США,8.177, Габриэле Муччино, Грант Нипорте,Уилл Смит Розарио Доусон Вуди Харрельсон Майкл Или Барри Пеппер
128,Шерлок Холмс и доктор Ватсон: Король шантажа ,1980,СССР,8.355, Игорь Масленников, Владимир Валуцкий  Артур Конан Дойл,Василий Ливанов Виталий Соломин Рина Зеленая Валентина Панина Борислав Брондуков
129,Легенда о пианисте ,1998,Италия,8.138, Джузеппе Торнаторе, Алессандро Барикко  Джузеппе Торнаторе,Тим Рот Прюитт Тэйлор Винс Мелани Тьерри Билл Нанн Кларенс Уильямс III
130,Меня зовут Кхан ,2010,Индия,8.091, Каран Джохар, Шибани Батижа  Ниранджан Иенгар,Шах Рукх Кхан Каджол Кэти А. Кин Кентон Дюти Бенни Нивз
131,Афера ,1973,США,8.138, Джордж Рой Хилл, Дэвид С. Уорд,Пол Ньюман Роберт Редфорд Роберт Шоу Чарльз Дёрнинг Рей Уолстон
132,Привидение ,1990,США,8.164, Джерри Цукер, Брюс Джоэл Рубин,Патрик Суэйзи Деми Мур Вупи Голдберг Тони Голдуин Рик Авилес
133,Танцующий с волками ,1990,США,8.110, Кевин Костнер, Майкл Блейк,Кевин Костнер Мэри МакДоннелл Грэм Грин Родни А. Грант Флойд «Ред Кроу» Уэстермен
134,12 стульев ,1971,СССР,8.244, Леонид Гайдай, Владлен Бахнов  Леонид Гайдай  Илья Ильф ...,Арчил Гомиашвили Сергей Филиппов Михаил Пуговкин Наталья Крачковская Наталья Воробьева
135,Жизнь Дэвида Гейла ,2002,США,8.057, Алан Паркер, Чарльз Рэндольф,Кевин Спейси Кейт Уинслет Лора Линни Гэбриел Манн Мэтт Крэйвен
136,Рэй ,2004,США,8.050, Тейлор Хэкфорд, Джеймс Л. Уайт  Тейлор Хэкфорд,Джейми Фокс Керри Вашингтон Реджина Кинг Клифтон Пауэлл Гарри Дж. Ленникс
137,Шерлок Холмс и доктор Ватсон: Сокровища Агры ,1983,СССР,8.348, Игорь Масленников, Игорь Масленников  Артур Конан Дойл,Василий Ливанов Виталий Соломин Рина Зеленая Борислав Брондуков Екатерина Зинченко
138,Терминал ,2004,США,8.069, Стивен Спилберг, Саша Джерваси  Джефф Натансон  Эндрю Никкол,Том Хэнкс Кэтрин Зета-Джонс Стэнли Туччи Чи МакБрайд Диего Луна
139,Самый быстрый Indian ,2005,Новая Зеландия,8.029, Роджер Дональдсон, Роджер Дональдсон,Энтони Хопкинс Аарон Мерфи Крис Уильямс Дайан Лэдд Кристофер Лоуфорд
140,Назад в будущее 3 ,1990,США,8.168, Роберт Земекис, Роберт Земекис  Боб Гейл,Майкл Дж. Фокс Кристофер Ллойд Мэри Стинберген Томас Ф. Уилсон Лиа Томпсон
141,Умница Уилл Хантинг ,1997,США,8.074, Гас Ван Сент, Мэтт Дэймон  Бен Аффлек,Мэтт Дэймон Робин Уильямс Бен Аффлек Стеллан Скарсгард Минни Драйвер
142,Славные парни ,1990,США,8.117, Мартин Скорсезе, Николас Пиледжи  Мартин Скорсезе,Роберт Де Ниро Рэй Лиотта Джо Пеши Лоррейн Бракко Пол Сорвино
143,Пираты Карибского моря: Сундук мертвеца ,2006,США,8.089, Гор Вербински, Тед Эллиот  Терри Россио  Стюарт Битти ...,Джонни Депп Орландо Блум Кира Найтли Джек Девенпорт Билл Найи
144,Лицо со шрамом ,1983,США,8.181, Брайан Де Пальма, Оливер Стоун  Армитэдж Трэйл  Бен Хект ...,Аль Пачино Стивен Бауэр Мишель Пфайффер Мэри Элизабет Мастрантонио Роберт Лоджа
145,На несколько долларов больше ,1965,Италия,8.165, Серджио Леоне, Серджио Леоне  Фульвио Морселла  Лучиано Винчензони ...,Клинт Иствуд Ли Ван Клиф Джан Мария Волонте Марио Брега Луиджи Пистилли
146,Ледниковый период ,2002,США,8.015, Крис Уэдж  Карлос Салдана, Майкл Дж. Уилсон  Майкл Берг  Питер Экерман ...,Рэй Романо Джон Легуизамо Дэнис Лири Горан Вишнич Джек Блэк
147,Головоломка ,2015,США,8.008, Пит Доктер  Роналдо Дель Кармен, Пит Доктер  Мэг ЛеФов  Джош Кули ...,Эми Полер Филлис Смит Ричард Кайнд Билл Хейдер Льюис Блэк
148,Король говорит! ,2010,Великобритания,7.977, Том Хупер, Дэвид Сайдлер,Колин Фёрт Джеффри Раш Хелена Бонем Картер Гай Пирс Тимоти Сполл
149,Блеф ,1976,Италия,8.232, Серджио Корбуччи, Массимо Де Рита  Серджио Корбуччи  Микки Нокс ...,Адриано Челентано Энтони Куинн Коринн Клери Капюсин Уго Болонья
150,Ромео и Джульетта ,1968,Великобритания,8.210, Франко Дзеффирелли, Франко Брузати  Мазолино Д’амико  Франко Дзеффирелли ...,Леонард Уайтинг Оливия Хасси Джон МакИнери Майло О’Ши Пэт Хейвуд
151,Перед классом ,2008,США,8.076, Питер Уэрнер, Томас Рикман  Брэд Коэн  Лиза Высоцки,Джеймс Волк Трит Уильямс Доминик Скотт Кэй Сара Дрю Кэтлин Йорк
152,Планета Ка-Пэкс ,2001,Германия,8.015, Иэн Софтли, Чарльз Ливитт  Джин Брюэр,Кевин Спейси Джефф Бриджес Мэри МакКормак Элфри Вудард Дэвид Патрик Келли
153,Золотой теленок ,1968,СССР,8.192, Михаил Швейцер, Михаил Швейцер  Илья Ильф  Евгений Петров,Сергей Юрский Леонид Куравлёв Зиновий Гердт Евгений Евстигнеев Светлана Старикова
154,Шерлок Холмс ,2009,США,8.069, Гай Ричи, Майкл Роберт Джонсон  Энтони Пекэм  Саймон Кинберг ...,Роберт Дауни мл. Джуд Лоу Рэйчел МакАдамс Марк Стронг Эдди Марсан
155,Амели ,2001,Франция,7.996, Жан-Пьер Жёне, Гийом Лоран  Жан-Пьер Жёне,Одри Тоту Матьё Кассовиц Рюфюс Лорелла Кравотта Серж Мерлен
156,Семь самураев ,1954,Япония,8.152, Акира Куросава, Акира Куросава  Синобу Хасимото  Хидэо Огуни,Тосиро Мифунэ Такаси Симура Кэйко Цусима Юкико Симадзаки Каматари Фудзивара
157,В случае убийства набирайте «М» ,1954,США,8.113, Альфред Хичкок, Фредерик Нотт,Рэй Милланд Грэйс Келли Роберт Каммингс Джон Уильямс Энтони Доусон
158,Нюрнбергский процесс ,1961,США,8.127, Стэнли Крамер, Эбби Манн  Монтгомери Клифт,Спенсер Трэйси Берт Ланкастер Максимилиан Шелл Ричард Уидмарк Марлен Дитрих
159,Бешеные псы ,1991,США,8.115, Квентин Тарантино, Квентин Тарантино  Роджер Эвери,Харви Кейтель Тим Рот Майкл Мэдсен Крис Пенн Стив Бушеми
160,Заплати другому ,2000,США,8.074, Мими Ледер, Лесли Диксон  Кэтрин Райан Хайд,Кевин Спейси Хелен Хант Хэйли Джоэл Осмент Джей Мор Джеймс Кэвизел
161,Корпорация монстров ,2001,США,8.074, Пит Доктер  Дэвид Силверман  Ли Анкрич, Эндрю Стэнтон  Дэниел Герсон  Роберт Л. Бейрд ...,Джон Гудман Билли Кристал Мэри Гиббс Стив Бушеми Джеймс Коберн
162,Вам и не снилось... ,1980,СССР,8.189, Илья Фрэз, Илья Фрэз  Галина Щербакова,Татьяна Аксюта Никита Михайловский Елена Соловей Ирина Мирошниченко Лидия Федосеева-Шукшина
163,Вечное сияние чистого разума ,2004,США,8.025, Мишель Гондри, Чарли Кауфман  Мишель Гондри  Пьер Бисмут,Джим Керри Кейт Уинслет Джерри Роберт Бирн Элайджа Вуд Томас Джей Райан
164,Три билборда на границе Эббинга Миссури ,2017,Великобритания,8.170, Мартин МакДона, Мартин МакДона,Фрэнсис МакДорманд Сэм Рокуэлл Вуди Харрельсон Лукас Хеджес Калеб Лэндри Джонс
165,Ганди ,1982,Великобритания,8.060, Ричард Аттенборо, Джон Брайли,Бен Кингсли Рошан Сет Джеральдин Джеймс Рохини Хаттангди Кэндис Берген
166,Апокалипсис сегодня ,1979,США,8.144, Фрэнсис Форд Коппола, Джон Милиус  Фрэнсис Форд Коппола  Майкл Герр ...,Марлон Брандо Мартин Шин Роберт Дювалл Фредерик Форрест Сэм Боттомс
167,Воин ,2011,США,8.028, Гэвин О’Коннор, Гэвин О’Коннор  Клиф Дорфман  Энтони Тамбакис,Джоэл Эдгертон Том Харди Ник Нолти Дженнифер Моррисон Фрэнк Грилло
168,Тот самый Мюнхгаузен ,1979,СССР,8.276, Марк Захаров, Григорий Горин,Олег Янковский Инна Чурикова Елена Коренева Игорь Кваша Александр Абдулов
